,Rok,Miesiąc,sum_rain
138,1999,11,7683.800000000037
139,2021,2,2457.899999999995
140,1989,8,12079.500000000015
141,1999,12,7317.900000000011
142,1954,2,1111.5000000000011
143,2002,5,12931.500000000013
144,1956,4,5812.399999999995
145,2013,9,15545.200000000073
146,1986,2,2148.4999999999936
147,1981,5,7797.000000000011
148,1979,3,6294.200000000003
149,1980,2,2937.699999999991
150,1977,7,14440.500000000033
151,1969,1,3144.7999999999915
152,1957,5,5228.000000000004
153,1954,7,12577.800000000041
154,2007,9,19858.699999999968
155,2020,4,759.1000000000008
156,1991,7,13970.800000000012
157,1998,10,14245.60000000006
158,1979,12,6947.900000000005
159,1973,8,3934.5999999999995
160,1972,8,18630.60000000001
161,1995,4,10208.400000000045
162,1995,9,16555.600000000013
163,1973,1,2462.0999999999885
164,2022,10,2006.6999999999966
165,1988,5,9050.800000000021
166,1994,9,14334.30000000001
167,1996,8,17166.200000000008
168,1986,3,3617.1999999999975
169,2020,12,2053.9999999999973
170,1993,4,5081.399999999991
171,1980,6,16157.900000000056
172,2011,9,4778.5999999999985
173,1968,12,2241.799999999994
174,1971,6,14049.800000000008
175,2012,9,7328.500000000008
176,2015,4,3553.799999999992
177,1998,12,6070.699999999996
178,1979,7,10306.800000000021
179,1982,9,3517.4999999999914
180,2008,12,7258.800000000032
181,1965,6,18174.399999999976
182,1962,10,3161.999999999983
183,1996,4,6683.200000000007
184,1997,8,10330.600000000031
185,1984,2,2745.3999999999937
186,1973,4,5594.399999999998
187,1971,7,7210.200000000006
188,1952,2,4474.2000000000035
189,2012,5,8452.800000000017
190,2008,6,7273.100000000003
191,2015,8,1839.999999999998
192,2017,6,6118.9000000000015
193,1988,8,13562.700000000023
194,1963,7,10808.400000000025
195,1982,6,12128.700000000004
196,1957,3,3949.199999999995
197,1992,1,6038.700000000022
198,1996,11,6592.80000000002
199,1986,10,5590.200000000005
200,1997,11,8089.300000000041
201,1984,8,6249.9
202,1958,10,7495.000000000005
203,1959,2,1322.999999999999
204,1952,5,5555.799999999992
205,1963,12,3440.2999999999843
206,1964,12,7274.300000000009
207,1986,5,13363.100000000031
208,1979,11,7411.000000000016
209,1982,11,3697.4999999999877
210,1968,3,3859.7999999999884
211,1968,5,10791.200000000024
212,1952,9,9720.500000000022
213,2000,7,27196.9
214,1985,6,15372.200000000044
215,2002,9,10532.000000000013
216,2020,11,1441.3000000000018
217,1988,12,12015.100000000091
218,1961,6,14474.499999999985
219,1985,10,4111.199999999985
220,1975,1,4062.6999999999935
221,1971,12,6331.5000000000055
222,2009,4,1266.0
223,1993,9,12693.899999999989
224,1984,3,3157.799999999984
225,1969,10,3741.9999999999877
226,1960,3,3103.8999999999937
227,1956,5,3299.2999999999997
228,2011,12,7411.000000000025
229,2004,8,13147.300000000017
230,2002,8,14235.8
231,2015,3,4516.999999999996
232,2017,2,2691.9999999999986
233,2016,8,5650.400000000002
234,2022,8,3739.799999999998
235,1965,3,6396.499999999995
236,1978,2,2504.3999999999924
237,1969,12,3521.8999999999787
238,2013,1,10426.600000000062
239,1996,9,21610.199999999917
240,1995,12,5573.000000000034
241,1985,8,20191.2
242,1981,3,8015.299999999999
243,1956,8,10698.000000000027
244,2014,2,2903.0999999999863
245,1992,6,10039.700000000006
246,1986,11,3987.0999999999917
247,1977,11,7461.600000000017
248,2011,4,6594.800000000012
249,1997,7,37897.799999999836
250,1998,9,12438.600000000019
251,1999,8,8978.300000000007
252,1959,12,8098.700000000018
253,1991,10,8684.100000000037
254,1965,7,20229.100000000013
255,1998,2,7258.200000000047
256,1957,8,10326.600000000013
257,2006,5,12141.400000000043
258,2007,6,15365.700000000023
259,2008,7,20437.000000000015
260,1965,1,8039.800000000025
261,1987,5,14216.700000000059
262,2001,12,7155.999999999999
263,1987,1,7545.800000000019
264,1951,2,2523.299999999997
265,1962,12,5896.100000000016
266,1990,8,12888.700000000057
267,1971,2,4587.399999999987
268,1952,4,3146.999999999997
269,2010,8,23025.40000000002
270,2021,1,3142.099999999995
271,1991,4,8332.300000000027
272,1956,12,5306.6000000000095
273,2020,6,8589.700000000012
274,1985,7,10743.900000000038
275,1983,1,8183.700000000013
276,1969,6,11092.100000000053
277,1972,10,3217.1999999999916
278,1992,8,6863.300000000007
279,1995,1,7452.2000000000235
280,1986,6,13182.500000000002
281,1983,4,5997.000000000005
282,2022,5,2246.8999999999996
283,2010,5,30109.09999999994
284,2003,9,7399.400000000006
285,1978,12,6243.200000000019
286,1960,6,10118.700000000017
287,2020,3,1682.9999999999998
288,2005,5,13827.300000000032
289,1963,8,16268.50000000003
290,2008,4,8641.900000000009
291,1985,5,10227.300000000012
292,1979,10,3577.8999999999937
293,1954,4,5426.600000000006
294,1987,4,6073.100000000007
295,1955,3,2567.799999999994
296,2008,8,14868.100000000028
297,2018,5,4417.5999999999985
298,1960,2,2772.2999999999943
299,1985,1,4008.1999999999907
300,1968,9,9171.49999999998
301,1959,4,5425.800000000005
302,2011,3,3371.1999999999966
303,2022,7,6095.499999999994
304,1991,5,16145.300000000036
305,1993,8,12408.500000000018
306,1994,2,3062.899999999989
307,1985,2,4908.2
308,1983,12,4027.6999999999857
309,1970,11,10244.800000000027
310,1979,9,7691.000000000007
311,1953,5,4342.899999999998
312,2004,10,7981.500000000024
313,1987,9,12287.900000000021
314,1998,6,19332.700000000033
315,1975,3,4948.900000000003
316,1952,10,7314.20000000001
317,1989,6,19291.599999999966
318,1983,11,4068.299999999985
319,1976,11,7075.6
320,1972,3,3260.300000000003
321,1972,12,847.5000000000023
322,1959,6,9652.000000000005
323,1954,1,3178.0999999999935
324,2012,12,5106.900000000016
325,1987,8,13621.800000000041
326,1951,7,5803.999999999999
327,2005,12,13928.100000000057
328,2021,8,10534.800000000008
329,1973,11,6722.5
330,2007,11,9807.700000000026
331,1993,3,8408.000000000025
332,1989,10,8277.100000000006
333,1954,11,2814.3999999999996
334,2005,9,7124.200000000001
335,2020,9,5006.500000000011
336,1999,5,9001.099999999999
337,1980,5,5247.299999999999
338,2010,7,21796.199999999993
339,2002,6,15085.900000000003
340,1992,5,8888.900000000012
341,1992,10,13567.300000000054
342,1970,9,7155.100000000008
343,2012,3,4363.399999999992
344,1970,10,9364.700000000017
345,2009,12,7562.500000000009
346,2001,3,8656.500000000005
347,2006,12,4933.599999999988
348,1974,6,17688.300000000043
