,Rok,Miesiąc,avg_time_deszcz,avg_time_snieg,avg_time_deszcz_ze_sniegiem,avg_time_grad,avg_time_mgla,avg_time_zamglenie,avg_time_sadz,avg_time_gololedz,avg_time_zamiec_niska,avg_time_zamiec_wysoka,avg_time_zmetnienie,avg_time_wiatr_10ms,avg_time_wiatr_15ms,avg_time_burza,avg_time_rosa,avg_time_szron
274,1985,2,1.1515222482435596,6.0555620608899305,0.05884074941451991,0.0020491803278688526,0.96211943793911,14.355152224824362,0.8596018735362997,0.33776346604215457,1.9266978922716627,0.9318501170960187,0.6354215456674475,1.254156908665105,0.29596018735363,0.001639344262295082,0.0022248243559718967,1.0820843091334893
275,1970,11,4.851468926553671,0.5640677966101696,0.07909604519774013,0.008813559322033896,1.705649717514124,11.617457627118643,0.34920903954802257,0.019943502824858756,0.016327683615819207,0.20745762711864407,0.048644067796610166,1.6034463276836155,0.35960451977401114,0.004180790960451977,0.7722598870056496,1.5588135593220338
276,1991,5,2.9757808499743983,0.15350742447516644,0.011981566820276497,0.0028161802355350747,0.7377368151561701,5.5013312852022525,0.3511520737327189,0.02145417306707629,0.007987711213517665,0.10107526881720431,0.1559651817716334,0.6695340501792114,0.1378904249871992,0.1639016897081413,3.2372759856630826,0.10061443932411675
277,1993,8,1.3819468024900963,0.0178834182229768,0.0050933786078098476,0.0005659309564233164,0.39858517260894183,3.540973401245048,0.009224674589700057,0.0005659309564233164,0.0,0.0,0.14001131861912847,0.2495189586870402,0.07538200339558573,0.30118845500848895,4.6139219015280135,0.005376344086021506
278,1994,2,0.6675714285714285,3.1376428571428576,0.13450000000000004,0.004857142857142857,1.4652142857142858,13.505714285714285,0.7575,0.1886428571428571,0.19378571428571428,0.37449999999999994,0.4275,0.49492857142857144,0.18592857142857144,0.0,0.0475,1.5680714285714288
279,1979,9,2.259125683060109,0.013387978142076503,0.00726775956284153,0.0003825136612021858,1.069617486338798,9.631038251366117,0.04382513661202185,0.011420765027322404,0.006612021857923498,0.01092896174863388,0.8970491803278688,0.5290163934426229,0.06781420765027323,0.10098360655737705,5.584590163934424,0.060655737704918035
280,2004,10,2.152747909199522,0.026045400238948628,0.0017323775388291517,0.00035842293906810036,1.5900836320191154,7.33984468339307,0.18237753882915175,0.004002389486260454,0.0011947431302270011,0.06618876941457587,0.04289127837514934,0.5588410991636796,0.20197132616487457,0.0071087216248506575,3.1986857825567507,0.5441457586618877
281,1975,3,1.46747311827957,1.026021505376344,0.18870967741935485,0.0013440860215053765,1.3226881720430104,9.954569892473119,0.4080645161290322,0.01672043010752688,0.0015053763440860215,0.22908602150537638,0.8768817204301075,0.796290322580645,0.24548387096774194,0.017903225806451612,0.8164516129032258,2.1741397849462367
282,1987,9,1.7897883597883597,0.022275132275132274,0.0005291005291005291,0.0008994708994708995,0.885079365079365,7.988730158730158,0.07835978835978835,0.0015873015873015873,0.0,0.002380952380952381,0.5781481481481482,0.594021164021164,0.15873015873015872,0.16492063492063494,4.652116402116401,0.042539682539682544
283,1998,6,2.417756410256411,0.0014743589743589742,0.002371794871794872,0.0014102564102564106,0.6998076923076922,3.5491666666666672,0.01108974358974359,0.0022435897435897434,0.0,0.0,0.02307692307692308,0.33788461538461534,0.06493589743589745,0.5446153846153846,3.320448717948718,0.0
284,1976,11,4.401777777777777,1.082722222222222,0.07205555555555557,0.0010555555555555555,2.155611111111111,14.668611111111112,0.5106666666666666,0.0546111111111111,0.023444444444444445,0.2232222222222222,0.06122222222222223,0.7548333333333331,0.24422222222222223,0.0,2.045055555555556,0.6287222222222223
285,1972,3,1.5584472389283768,0.6944231820667031,0.09054127938764352,0.007271733187534171,0.6434117003827229,7.70300710770913,0.3018589393110989,0.022525970475669767,0.00940404592673592,0.2854018589393111,1.328813559322034,1.5210497539639147,0.2893931109896119,0.006943685073810825,0.40355385456533627,1.6584472389283762
286,1972,12,1.2389283761618373,0.20240568616730453,0.007654455986878075,0.0006014215418261345,2.4686167304538,13.22946965554948,0.5728813559322035,0.12782941498086386,0.0,0.03903772553307818,0.569819573537452,0.6451066156369599,0.23504647348277746,0.0,0.9276653909240021,7.487042099507928
287,1983,11,1.777,1.7972222222222225,0.1141111111111111,0.0010555555555555557,2.9173333333333336,10.595888888888888,0.47277777777777785,0.03,0.2903888888888889,0.2852222222222222,0.3080555555555556,1.0095555555555555,0.23883333333333334,0.00022222222222222223,1.1186111111111112,1.4285555555555556
288,1989,6,2.404867724867725,0.0264021164021164,0.004074074074074075,0.0009523809523809525,0.9742328042328041,6.9457671957671945,0.013756613756613757,0.0020634920634920633,0.0,0.0008994708994708994,0.3958201058201058,0.19730158730158728,0.05354497354497355,0.37074074074074076,3.57925925925926,0.009788359788359789
289,2012,12,1.1746714456391876,3.805376344086021,0.0917562724014337,0.012724014336917564,1.675089605734767,13.214277180406217,1.4384109916367986,0.4060931899641577,0.545400238948626,0.46093189964157705,0.016367980884109918,0.4912186379928314,0.1520310633213859,0.0,0.07897252090800477,1.9325567502986858
290,1987,8,1.967178699436764,0.009267793138760881,0.002918586789554531,0.0014336917562724016,0.7683563748079878,6.746082949308754,0.006195596518177164,0.0,0.000409626216077829,0.0,0.2870967741935484,0.46062467997951856,0.10512032770097283,0.1431131592421915,4.564772145417307,0.01039426523297491
291,2021,8,3.136290322580645,0.0012096774193548388,0.004233870967741936,0.00010080645161290323,1.0666330645161293,2.3185483870967745,0.0,0.0,0.0,0.0,0.0,0.4734879032258064,0.0939516129032258,0.19465725806451614,3.4047379032258065,0.0
292,2005,12,2.899342891278375,4.286260454002391,0.31971326164874553,0.014336917562724014,1.5241935483870968,13.060872162485065,0.8193548387096776,0.2609318996415771,0.629689366786141,0.6815412186379927,0.015770609318996414,0.7805256869772995,0.22616487455197135,0.0006571087216248507,0.03237753882915173,0.92078853046595
293,1973,11,2.517627118644067,1.9893220338983053,0.12564971751412432,0.0023728813559322033,0.6933333333333332,8.089096045197739,0.6053107344632768,0.009152542372881356,0.14875706214689266,0.46367231638418066,0.5564406779661017,2.549435028248587,0.43644067796610164,0.005367231638418079,0.048531073446327684,2.480508474576271
